x,y
7.63318, -4.85902
7.67585, -4.8951
7.74507, -4.92674
7.85288, -4.99505
7.90556, -5.02947
8.00975, -5.06277
8.1107, -5.11076
8.15242, -5.14659
8.15417, -5.20978
8.20766, -5.22536
8.33178, -5.27438
8.37739, -5.31633
8.42467, -5.35491
8.48347, -5.36375
8.53616, -5.39587
8.60838, -5.41382
8.63107, -5.47358
8.71478, -5.50157
8.78738, -5.52101
8.84674, -5.51849
8.8674, -5.61935
8.88041, -5.69543
8.83602, -5.75806
8.87796, -5.79531
8.94294, -5.83771
8.99169, -5.85826
8.96897, -5.92623
9.0028, -6.00556
8.95069, -6.03646
8.94258, -6.09562
8.9202, -6.145
8.92313, -6.20009
8.93596, -6.26636
8.92957, -6.3208
8.9446, -6.39388
8.8607, -6.40971
8.79287, -6.42022
8.77479, -6.46746
8.74604, -6.52919
8.68087, -6.54682
8.7301, -6.5675
8.68172, -6.52448
8.72722, -6.49628
8.75723, -6.54023
8.67235, -6.52518
8.73099, -6.53674
8.68334, -6.50682
8.73808, -6.48949
8.68853, -6.49679
8.73607, -6.51439
8.68976, -6.57332
8.70919, -6.52172
